╢С╟в╡к,0.30,0.33,0.35,╢╒╢Ф\пб,╫О,2021-05-28
мчмч╡к,0.50,0.55,0.60,╢С\п║,╫О,2021-05-28
п║╟в╡к,0.60,0.65,0.70,фум╗,╫О,2021-05-28
гш╡к,0.80,1.00,1.20,\╪╫,╫О,2021-05-28
нВгш,1.80,2.00,2.20,фум╗,╫О,2021-05-28
╡╓╡к,1.30,1.50,1.70,бЁ\╪╫,╫О,2021-05-28
щ╚кЯ,1.20,1.40,1.60,цЖуЦ/бЁ,╫О,2021-05-28
меиЗ╡к,0.80,1.00,1.20,ц╚|╬╩,╫О,2021-05-28
т╡╟в╡к,0.30,0.40,0.50,\╪╫,╫О,2021-05-28
во╦йю╤,0.70,0.80,0.90,цЖтф,╫О,2021-05-28
и╒р╤иЗ╡к,1.00,1.40,1.80,\╬╘,╫О,2021-05-28
см╡к,0.80,1.00,1.20,бЁ\╬╘,╫О,2021-05-28
оЦ╡к,1.00,1.25,1.50,бЁ\╪╫,╫О,2021-05-28
эНоЦ,1.00,1.25,1.50,\╪╫,╫О,2021-05-28
╬б╡к,0.80,0.90,1.00,фум╗,╫О,2021-05-28
╬б╡кл╕,3.50,3.75,4.00,фум╗,╫О,2021-05-28
©Ю╬у,1.00,1.15,1.30,аи,╫О,2021-05-28
смбС╡к,1.40,1.50,1.60,\╬╘,╫О,2021-05-28
и╒╡к╩╗,1.10,1.30,1.50,т╔\ку,╫О,2021-05-28
бл╡к╩╗,1.50,1.75,2.00,╪╫\ куиб,╫О,2021-05-28
